CustomerID,Lookalikes
C0001,"[('C0048', 0.9950690613819692), ('C0181', 0.9965197369448543), ('C0190', 0.9966931152299675)]"
C0002,"[('C0106', 0.9941927737587308), ('C0134', 0.994293589362952), ('C0088', 0.9972860777903121)]"
C0003,"[('C0031', 0.9934455806554768), ('C0152', 0.9936573983161197), ('C0052', 0.9969992174703901)]"
C0004,"[('C0153', 0.99090454545014), ('C0169', 0.9911838720110644), ('C0165', 0.9955186499931888)]"
C0005,"[('C0007', 0.9945768778113777), ('C0146', 0.9961566777731068), ('C0186', 0.9981717526495861)]"
C0006,"[('C0187', 0.9941245858589293), ('C0168', 0.9951676845599187), ('C0171', 0.9972810686606883)]"
C0007,"[('C0140', 0.9937442904854265), ('C0005', 0.9945768778113777), ('C0115', 0.996488670368942)]"
C0008,"[('C0038', 0.958087410056173), ('C0189', 0.9584174404031849), ('C0065', 0.978108948637362)]"
C0009,"[('C0062', 0.9836452525114444), ('C0103', 0.9843189490454441), ('C0198', 0.9906325382380973)]"
C0010,"[('C0198', 0.9820019158579849), ('C0062', 0.9920065603227987), ('C0111', 0.9965533191765481)]"
C0011,"[('C0191', 0.9970672193749993), ('C0126', 0.9976469142768384), ('C0137', 0.9991608988383558)]"
C0012,"[('C0113', 0.9941076648099112), ('C0104', 0.9955920519952759), ('C0195', 0.9961019737679557)]"
C0013,"[('C0107', 0.9876343493077805), ('C0108', 0.9945871912035563), ('C0099', 0.9981930970672219)]"
C0014,"[('C0086', 0.9431219437068037), ('C0166', 0.9566471963242932), ('C0060', 0.9750345002381821)]"
C0015,"[('C0036', 0.9822846346664956), ('C0125', 0.9830268326911911), ('C0131', 0.9948348774149041)]"
C0016,"[('C0067', 0.989668429982802), ('C0042', 0.9902973253303439), ('C0183', 0.9941921985419582)]"
C0017,"[('C0057', 0.9893271510320707), ('C0081', 0.9920910913633979), ('C0075', 0.9973557379708929)]"
C0018,"[('C0122', 0.9867764253622454), ('C0046', 0.9898730734596146), ('C0117', 0.9957806183292187)]"
C0019,"[('C0057', 0.9753688188960634), ('C0017', 0.9795907979148195), ('C0081', 0.9910725740228765)]"
C0020,"[('C0035', 0.9657629902403946), ('C0026', 0.9740595953667226), ('C0050', 0.9827582912945235)]"
